grid_id,day_lst,night_lst,day_night_gap,centroid_lon,centroid_lat,dist_to_coast,elevation_mean,water_ratio,dist_to_major_river,avg_height,road_length,bldg_coverage_ratio,svf_mean,height_variance,ndvi,file_name,OID_,Shape_Leng,Shape_Area,MESH_KEYS,geometry_wkt
30,34.092436,23.490553,10.601883,139.78396468572788,35.53898759720786,1248.851935,4.15614527,0.0,774.382786,,0.0,0.0,1.0,,0.206645757,bldg_30.shp,0,800.0,40000.0,53392642,"POLYGON ((139.782875 35.538075, 139.782848 35.539878, 139.785054 35.5399, 139.785081 35.538097, 139.782875 35.538075))"
31,34.595825,23.711095,10.884729999999998,139.7861704946288,35.53900982211532,1098.586716,3.708822776,0.0,880.7256389,,0.0,0.0,0.998548794,,0.214041978,bldg_31.shp,0,800.0,40000.0,"53392642,53392643","POLYGON ((139.785081 35.538097, 139.785054 35.5399, 139.78726 35.539922, 139.787287 35.538119, 139.785081 35.538097))"
32,34.028102,23.743409,10.284692999999997,139.7883763059423,35.539032006689546,966.5166281,3.61815598,0.0,987.0684918,39.8,0.0,0.011629866,0.967859118,0.0,0.078286369,bldg_32.shp,0,800.0,40000.0,"53392642,53392643","POLYGON ((139.787287 35.538119, 139.78726 35.539922, 139.789466 35.539945, 139.789493 35.538142, 139.787287 35.538119))"
33,34.984845,23.128612,11.856233,139.790582119664,35.539054150930404,859.7016665,4.44170504,0.0,1093.411345,28.86666667,95.47721741,0.603984391,0.456546856,477.7433333,0.03967863,bldg_33.shp,0,800.0,40000.0,53392643,"POLYGON ((139.789493 35.538142, 139.789466 35.539945, 139.791672 35.539967, 139.791699 35.538164, 139.789493 35.538142))"
34,34.516796,23.182606,11.33419,139.79278793578956,35.53907625483776,761.1014638,3.371073066,0.0,1199.754198,15.79285714,675.1002809,0.237128195,0.742886061,147.3853297,0.076478768,bldg_34.shp,0,800.0,40000.0,53392643,"POLYGON ((139.791699 35.538164, 139.791672 35.539967, 139.793877 35.539989, 139.793904 35.538186, 139.791699 35.538164))"
35,34.953968,23.853971,11.099997000000002,139.79499375431456,35.539098318411476,662.501261,2.52904304,0.0,1306.097051,15.85,498.4078698,0.285400698,0.748043427,262.205,0.112838202,bldg_35.shp,0,800.0,40000.0,53392643,"POLYGON ((139.793904 35.538186, 139.793877 35.539989, 139.796083 35.540011, 139.79611 35.538208, 139.793904 35.538186))"
36,35.609865,24.409221,11.200644,139.7971995752346,35.5391203416514,563.9010582,3.342204596,0.0,1412.439903,27.3,72.30724527,0.000444153,0.990118823,0.0,0.042695706,bldg_36.shp,0,800.0,40000.0,53392643,"POLYGON ((139.79611 35.538208, 139.796083 35.540011, 139.798289 35.540033, 139.798316 35.53823, 139.79611 35.538208))"
37,35.026986,24.131296,10.895690000000002,139.7994053985454,35.539142324557396,478.1661009,2.975383472,0.0,1518.782756,,0.0,0.0,0.999759068,,0.032776082,bldg_37.shp,0,800.0,40000.0,"53392643,53392644","POLYGON ((139.798316 35.53823, 139.798289 35.540033, 139.800495 35.540055, 139.800522 35.538252, 139.798316 35.53823))"
38,35.066438,23.670752,11.395685999999998,139.80161122424244,35.53916426712931,367.6683165,3.613617156,0.0,1625.125609,,0.0,0.0,1.0,,0.079940724,bldg_38.shp,0,800.0,40000.0,"53392643,53392644","POLYGON ((139.800522 35.538252, 139.800495 35.540055, 139.802701 35.540077, 139.802728 35.538274, 139.800522 35.538252))"
39,35.197146,23.484319,11.712826999999997,139.80381705232142,35.53918616936702,269.6929843,5.849621623,0.0,1731.468462,,0.0,0.0,1.0,,0.141568925,bldg_39.shp,0,800.0,40000.0,53392644,"POLYGON ((139.802728 35.538274, 139.802701 35.540077, 139.804907 35.540099, 139.804933 35.538296, 139.802728 35.538274))"
